,comments
831,圆字竟然是个蛋哈哈哈哈凡哥太可爱了吧
832,对不起，凡凡
833,1.25真神仙
834,吴亦凡对不起！
835,对不起凡凡，是我蔡徐坤了QAQ
836,凡哥对不起
837,1.25是真的神仙！！！
838,吴亦凡对不起
839,好听啊！凡哥对不起！
840,1.25牛壁
841,说实话很聪明，莫名有点好感了
842,对不起orz！！
843,满分！
844,凡哥对不起真的对不起
845,对不起
846,凡哥对不起
847,一面之缘
848,凡哥 对不起
849,洗洗睡了
850,凡哥真男人
851,吴亦凡牛批
852,对不起凡哥
853,卧槽点卯
854,吴亦凡对不起
855,1.25真的好好听
856,6
857,对不起
858,强推1.25！
859,电满了
860,我的天电鳗哈哈哈哈凡哥好评！
861,吴亦凡对不起
862,吴亦凡对不起
863,凡哥，对不起！
864,吴亦凡对不起
865,这才是一个男人，
866,cxk进来挨打
867,吴亦凡牛壁！
868,吴亦凡洗白
869,吴亦凡对不起
870,不得了
871,心胸广阔吴亦凡
872,昨天才70万
873,粉了粉了
874,51凡进来挨夸
875,粉了
876,再听一遍
877,原谅我想笑啊哈哈哈哈哈哈哈哈
878,吴亦凡对不起
879,路转粉
880,凡哥对不起！！！！！
881,对不起！！！！！！！！！！！！！！！！！
882,建议1.25倍食用
883,所有的偏见 质疑 冒险 少一个都不会有今天的吴亦凡
884,对不起凡哥。
885,停不下来
886,已泪目
887,高能
888,凡哥对不起，向您学习！
889,吴亦凡对不起
890,完了越来越火，这世道
891,凡哥，对不起
892,吴亦凡对不起
893,凡哥对不起
894,麻麻的
895,凡哥对不起！！！
896,凡哥，对不起
897,666666
898,真的好听
899,我觉得他这样挺好的，情商很高
900,吴亦凡肚量！！
901,sky sky
902,好听
903,66666666666666
904,五百万助攻
905,吴亦凡我这里欠你的该怎么还
906,凡哥真男人
907,洗脑了
908,凡哥对不起
909,凡哥对不起
910,这碗大！！！
911,我爱我宝贝，真的是个很勇敢的的人，心胸开阔
912,花钱也要用流量看完！！！(对不起，凡哥)
913,凡凡好a
914,路转粉
915,膜拜凡哥
916,凡哥对不起
917,你看这个面它又长又宽就像这个碗它又大又圆。
918,我从没黑你，这次我粉你
919,你看这个面它又长又宽就像这个碗它又大又圆。。
920,吴亦凡对不起
921,1.25
922,我我黑转路了
923,吴亦凡对不起
924,凡哥我错了
925,对唔住 凡哥
926,对不起凡凡QAQ
927,1.25太好听了
928,凡哥NB
929,吴亦凡读不起
930,凡哥真爷们
931,2.35
932,大声肛，一凡哥，对木起
933,哈哈哈哈哈哈
934,穿粉
935,凡哥进来挨夸
936,凡哥对不起，我不该黑你的
937,对不起凡哥
938,1.25倍超好听
939,凡哥对不起
940,发现了没有，小人肩膀上扛着一条电鳗
941,吴亦凡，我错了
942,1.25 3
943,凡哥对不起
944,1.25好
945,凡哥对不起！原谅我吧！
946,给劲！！！！！！！！
947,请收下我的膝盖
948,超有态度
949,凡哥，对不起
950,为什么要说对不起
951,我又滚回来啦
952,ha好听好听
953,我准备戴耳机听这首歌
954,1.25
955,1.25超赞
956,"唱的不错,至少干的是本行,不像隔壁那位,装什么形象大使"
957,凡哥对不起
958,这才是公众人物
959,1.25倍注入灵魂
960,还是凡哥好
961,凡哥NB！
962,你看这个面它又长又宽就像这个碗它又大又圆
963,凡哥NB
964,创意是吴亦凡啊
965,凡哥，对不起。
966,注入灵魂
967,凡哥对不起我有罪
968,凡哥厉害
969,川粉
970,路转粉
971,凡哥对不起
972,凡哥牛逼
973,建议1.25 好听100倍
974,直接转粉还是...
975,1.5倍新世界
976,吴亦凡对不起
977,前方核能！请非战斗人员迅速撤离，重复，请迅速撤离！
978,改速度快快快
979,转粉
980,1.25超好听！！！！！！！！！！
981,路转粉
982,凡哥对不起
983,厉害
984,凡哥对不起
985,1.251.251.251.251.25
986,中华电鳗
987,吴亦凡对不起
988,凡凡 对不起
989,凡哥太man了
990,没人说这是加拿大炮王了。
991,哈哈哈哈哈
992,注入灵魂
993,凡凡 对不起
994,“哈哈哈红红火火恍恍惚惚”
995,川粉
996,注入灵魂
997,好听！给劲~~~
998,吴亦凡最帅
999,哈哈电满了
